Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
Brief bevestiging automatisch betalen   fijnstoftoeslag 23-3-20200636.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;Brief
Brief verlaging fijnstoftoeskag 95 JN TV   100320220637.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;Brief
Rekenng motorrijtuigenbelasting   140320220638.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;
Scan0639.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;
Teruggafbeschikking   Mototrijtuigenbelasting 95 JN TV 180320220640.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;
verzoek\_mrb\_bijzonder\_tarief\_mb1021z22fol   ingevuld0641.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;Verzoek
verzoek\_mrb\_bijzonder\_tarief\_mb1021z22fol0642.pdf;N\:belasting\wegen;;;;;belasting;wegen;;;Bezigheid;belasting;;;;Verzoek
EKA GEURTS TAPM  67424478W10024 Voorlopie aanslag   zorgverzekeringswet0643.pdf;N\:belasting\zorg;;;;;belasting;zorg;;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Aanmaning Riet zorgbijdrage  14-01-20200644.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
Aanmaning Riet zorgbijdrage  15-10-20190645.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
Aanmaning Riet zorgbijdrage  17-12-20190646.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
Aanmaning Riet zorgbijdrage  180920180647.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
Aanmaning Riet zorgbijdrage  19-6-20190648.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
Aanmaning Riet zorgbijdrage  20-8-20190649.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
Aanmaning Theo zorgbijdrage  210820180650.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanmaning
BD    voorl aanslag zvw 2014 Theo0651.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
BD 20-6-2019 Voorlopige aanslag 2018   Rietx0652.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
BD 9-11-2018 aanslag 2016 theo0653.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
BD Anslag 2015 ZVW 28-10-2015   Theo0654.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdrage zorgverzekeringswet   10-09-2019 riet0655.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdrage zorgverzekeringswet 30-4-2019   riet0656.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdrage zorgverzekeringswet 4-07-2019   riet0657.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdrage zorgverzekeringswet0658.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdrage zorgverzekeringswet20659.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdrage ZVW 04062016 Theo0660.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD bijdragr ZVW 04062016 Riet0661.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD Brief Betalingsherinnering   zorgverzekeringswet 16-4-2019 riet0662.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Brief
BD brief voorlopige aanslag  2017 Theo 030820180663.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
BD def-aanslag-zorgverzekeringswet-2017   24-9-2019 theo0664.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
BD definitierve anslag 2018 ZVW   10-10-2019 Theo0665.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD Geen voorlopige anslag 2018 20-6-2019   Theo0666.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD Machtifging 2016 zorgbijdrage   Theo0667.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD Machtiging 2016 zorgbijdrage   Riet0668.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Machtiging
"BD Medede;ing Bijdrage   zorgverzekeringswet 4-11-2016 riet0669.pdf";N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
"BD Medede;ing Bijdrage   zorgverzekeringswet 4-11-20160670.pdf";N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD Mededeling zorgbijdrage feb2016   Riet0671.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD Mededeling zorgbijdrage feb2016   Theo0672.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD mededeling ZVW 07072016 Riet0673.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD uitstel ink zvw 2014 170620   Theo0674.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
BD voorlopige aanslag  2017 Riet 030820180675.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
BD Voorlopige aanslag 2017 ZVW 31-1-2017   Riet0676.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
MET BETREKKING TOT de   AGENDAPUNTEN1933.docx;N\:huis\L94\VvE de Hofstadt\ALV 28jun2016;;;;;huis;L94;VvE de Hofstadt;ALV 28jun2016;Bezigheid;L94;;;;
Geurts-Groenendijk-Ouderschapsplan   met  reactie ThijsG1545.docx;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Geurts-Groenendijk-Ouderschapsplan   met  reactie ThijsG1546.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Geurts-Groenendijk-Ouderschapsplan-2708191547.docx;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Geurts-Groenendijk-Ouderschapsplan-270819V21548.docx;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Het vierde huis1549.doc;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Hoi Gerrit1550.doc;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Hoogheemraadschap De Stichtse Rijnlanden   aanslag 20071551.doc;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;Aanslagbiljet
huurspecificatie 2011 met daarop 2010   21552.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
In en uit overzicht1553.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
In uit overzicht1554.docx;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs april 20091555.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs aug 20091556.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs dec 20091557.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs feb 20091558.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs januari 20091559.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs juli 20091560.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs juni 20091561.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs maart 20091562.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs mei 20091563.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs nov 20091564.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs okt 20091565.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
ing thijs sept 20091566.pdf;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Initiëren 020220171567.docx;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;
Intentieverklaring1568.docx;N\:gezin\Thijs;;;;;gezin;Thijs;;;Kwestie;;;;gezin;Verklaring
urenoverzicht\_Theodorus\_Antonius\_Geurts\_2026\_W34-730..pdf;;Urenoverzicht week 34-2026 (Theodorus Antonius Geurts);Vendingland Uren;2026-08-25 20:06:32;uren\@vendingland.nl;;;;;;;;;;
Delta Lloyd Jaaropgaaf 20172753.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Jaaropgave
Delta Lloyd Jaaropgaaf 2018 Theo2754.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Jaaropgave
Verzekeringskaart Aveco   verzekeringen0824.pdf;N\:camper;;;;;camper;;;;Bezigheid;camper;;;;
Verzoek tot schadevergoeding   191220220825.PDF;N\:dienstverlener\advocaat\Brandmeester;;;;;dienstverlener;advocaat;Brandmeester;;Geval;;Dienstverlener;Brandmeester;;Schadevergoeding
Factuur Wooncompany 100120170826.pdf;N\:dienstverlener\Makelaar;;;;;dienstverlener;Makelaar;;;"Geval; Bezigheid";huis;Dienstverlener;Makelaar;;Factuur
Just verkoop LvM94-14 6-6-20170827.pdf;N\:dienstverlener\notaris;;;;;dienstverlener;notaris;;;"Geval; Bezigheid";overeenkomst;Dienstverlener;notaris;;Factuur
scan0449 Brief opvragen afkoop en   premievrijwaarde Allianz0828.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Brief
scan0451 Brief opvragen afkoop en   premievrijwaarde Allianz0829.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Brief
scan0483 polis Allianz 6360243 Riet   Geurts0830.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Polis
scan0484 polis Allianz 6360244 Theo   Geurts0831.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Polis
scan0513 Allianz 17473 jaaroverzicht  11jan20120832.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Jaaroverzicht
scan0514 Allianz 17473 24mei2012   dagafschrift 030833.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Bankafschrift
scan0515 Allianz 17473 10jan2012   dagafschrift 020834.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Bankafschrift
scan0516 Allianz 17473 4jan2012   dagafschrift 010835.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Bankafschrift
Verkopen 17473 belggingen en opname   spaartegoed 20120836.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;
Verkopen beleggingen en opname   spaartegoed 20110837.pdf;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;
Verzoek afkoop Allianz0838.doc;N\:dienstverlener\verzekering\Allianz;;;;;dienstverlener;verzekering;Allianz;;"Geval; Bezigheid";verzekering;Verzekeraar;Allianz;;Verzoek
ANWB Factuur 10-07-2019 verleinging   doorlopende resiverzekering0839.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;Factuur
ANWB Factuur 2017 20180840.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;Factuur
Anwb resiverzekering tot 0820200841.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;
ANWB Verzekeringen Factuur 10-07-2023   Doorlopende creisverzekering0842.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";reisverzekering;Verzekeraar;ANWB-verzekeringen;;Factuur
betaalaankondiging\_80355967\_163451166   060520230843.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;
brief\_80089541\_162897451 130720230844.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;Brief
FactuANWB Factuur 10-07-2021 verleinging   doorlopende resiverzekeringur0845.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;Factuur
Polisblad 100720230846.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;Polisblad
Polisblad ANWB  tm 10-08-2022 doorlopende   resiverzekering0847.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;Polisblad
Productvoorwaarden0848.pdf;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;
Uitleg verloop schademedling bril Theo   Geurts0849.docx;N\:dienstverlener\verzekering\ANWB-verzekeringen;;;;;dienstverlener;verzekering;ANWB-verzekeringen;;"Geval; Bezigheid";verzekering;Verzekeraar;ANWB-verzekeringen;;
AON factuur 137901526 010820210850.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Factuur
AON factuur 26944673 dd 1-08-20190851.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Factuur
AON herinering factuur 010820200852.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Factuur
brief AON 29-8-2019 herinnering betaling   factuur0853.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Factuur
brief AON verlenging verzekering dd   170720190854.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Brief
brief fusie Kroller en AON 0920180855.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Brief
Brief Kroller 10856.pdf;N\:dienstverlener\verzekering\AoN vroeger Kröller;;;;;dienstverlener;verzekering;AoN vroeger Kröller;;"Geval; Bezigheid";verzekering;Verzekeraar;AoN vroeger Kröller;;Brief
kunstscrift factuur 20160000.pdf;N\:abonnement\abonnementenland;;;;;abonnement;abonnementenland;;;"Geval; Bezigheid";abonnement;Leverancier;abonnementenland;;Factuur
argeweb\_045949440001.pdf;N\:abonnement\Argweb;;;;;abonnement;Argweb;;;"Geval; Bezigheid";abonnement;Leverancier;Argweb;;
NRC abonnement 1h2019 19-12-20190002.pdf;N\:abonnement\krant;;;;;abonnement;krant;;;"Geval; Bezigheid";abonnement;Mediabedrijf;krant;;
NRC abonnement 2h20160003.pdf;N\:abonnement\krant;;;;;abonnement;krant;;;"Geval; Bezigheid";abonnement;Mediabedrijf;krant;;
Factuur\_26193300-731..pdf;;Uw factuur 26193300;Electro Breukers BV;2026-03-09 16:54:57;administratie\@electrobreukers.nl;;;;;;;;;;Factuur
Python.Scripting.for.Computational.Science.2nd.Edition.Hans.Petter.Langtangen.20052192.pdf;N\:kursus\Python;;;;;kursus;Python;;;Bezigheid;Python;;;;
Python.Scripting.for.Computational.Science.3rd.Edition.Hans.Petter.Langtangen.20092193.pdf;N\:kursus\Python;;;;;kursus;Python;;;Bezigheid;Python;;;;
Python.Scripting.for.Computational.Science.Hans.Petter.Langtangen.20042194.pdf;N\:kursus\Python;;;;;kursus;Python;;;Bezigheid;Python;;;;
Python.Testing.Beginner's.Guide.Daniel.Arbuckle.20102195.pdf;N\:kursus\Python;;;;;kursus;Python;;;Bezigheid;Python;;;;
Voorlopige koop overeenkomst BJV21730.doc;N\:huis\E66\verkoop;;;;;huis;E66;verkoop;;Bezigheid;E66;;;;Overeenkomst
Brief contract verkoop woning   70620101731.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Brief
Brief verkoopadvies woning   250220111732.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Brief
E&N Nota 180720131733.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Factuur
E&N Nota 8071020101734.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Factuur
Euverman&Nuyts   factuur\_A1108373-1001735.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Factuur
Euverman&Nuyts   factuur\_A11083731736.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Factuur
Euverman&Nuyts   factuur\_A11085641737.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Factuur
EuvermanNuyts factuur 120620151738.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Factuur
EuvermanNuyts herinnering   010720151739.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
intrek1740.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
Inttrekking verkoopopdracht   EuvermanNuyts1741.docx;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
Inttrekking verkoopopdracht   EuvermanNuyts1742.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
Koper opties1743.docx;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
Koper opties1744.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
Opdracht dienstverlening door Euver   Temming en partners ivm verkoop Enschedesestraat 66 Haaksbergen Kopie   versie1745.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
xxx1746.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
zzz1747.pdf;N\:huis\E66\verkoop\makelaar\EuvermanNuyts;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
10a - Brief energielabel1748.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Energielabel
11 - Algemene Consumentenvoorwaarden NVM   februari 20151749.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
12 - Privacyverklaring NVM1750.PDF;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Verklaring
14 - Klachtenprocedure NVM1751.PDF;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
1400660 LDB brfeigenaar 14560 \_GV\_ v2   (sessie 2-3)1752.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
15 - Erecode NVM1753.PDF;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
1704   koopovereenkomst-bestaand-appartement-06def1754.docx;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
207303800\_2517AR\_94\_14   energielabel1755.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Energielabel
A. Contract overname Tele2 NC1756.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
A.Contractovername Tele2 Nederland BV   bankafschrift1757.docx;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Bankafschrift
Bevestiging aanvraag energielabel   verstuurd1758.msg;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Aanvraag
bijlage eerste brief verkoper1759.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Brief
Contractovername Tele2 Nederland   BV1760.docx;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
F368148051161118\_Wijziging\_splitsing\_De\_Hofstad\_04\_17nov161761.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
F368148061771025\_Splitsingstekeningen\_VvE\_De\_Hofstadt1762.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Tekening
F36814811161118\_Splitsingstekeningen\_nieuw\_met\_overzicht\_De\_Hofstad1763.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Tekening
Ingenico    Bevestiging van uw bestelling bij    Ratering Gebouwenbeheer1764.msg;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Bevestiging
Ingevuld en ondertekende ZTM -   Vragenlijst verkoop LvM94 14 Geurts1765.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;
Jaareinde Brief aandeel in het   reservefonds1766.msg;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Brief
K. 170428 Koopovereenkomst eenzijdig   getekend RL NC TG RG1767.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
K. 170428 Koopovereenkomst eenzijdig   getekend RL NC1768.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
K. kopie paspoort Leuver - Calje1769.pdf;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Paspoort
koopovereenkomst-bestaand-appartement-tg-011770.doc;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
koopovereenkomst-bestaand-appartement-tg-021771.docx;N\:huis\E66\verkoop\makelaar\Ik zelf;;;;;huis;E66;verkoop;makelaar;Bezigheid;E66;;;;Overeenkomst
